epoch,percentage,loss
1,0.2,0.47610757
1,0.2,0.35346526
1,0.2,0.36437494
1,0.2,0.46264315
1,0.2,0.36215428
1,0.2,0.33186516
1,0.2,0.43879122
1,0.2,0.49241334
1,0.2,0.41671014
1,0.2,0.42729178
1,0.2,0.41240323
1,0.2,0.43017402
1,0.2,0.40580299
1,0.2,0.42145807
1,0.3,0.37585786
1,0.3,0.37743405
1,0.3,0.38310465
1,0.3,0.36212921
1,0.3,0.41312459
1,0.3,0.44002292
1,0.3,0.45594835
1,0.3,0.43525732
1,0.3,0.40158397
1,0.3,0.48890734
1,0.3,0.45768976
1,0.3,0.44189003
1,0.3,0.38643715
1,0.3,0.41070890
1,0.3,0.36976814
1,0.3,0.54449362
1,0.3,0.37991986
1,0.3,0.46710962
1,0.3,0.43029889
1,0.3,0.40963864
1,0.3,0.52971214
1,0.3,0.52419221
1,0.3,0.44830161
1,0.3,0.42904165
1,0.3,0.49269965
1,0.3,0.46765956
1,0.3,0.43926635
1,0.3,0.48212606
1,0.3,0.51055795
1,0.3,0.52421123
1,0.3,0.46621466
1,0.3,0.50892371
1,0.3,0.37905964
1,0.3,0.37524864
1,0.3,0.36389601
1,0.3,0.42928630
1,0.3,0.43521142
1,0.3,0.47592217
1,0.3,0.39016634
1,0.3,0.40982375
1,0.3,0.41866118
1,0.3,0.37450141
1,0.3,0.45079219
1,0.3,0.40339759
1,0.3,0.46097305
1,0.3,0.53243166
1,0.3,0.38593826
1,0.3,0.44094595
1,0.3,0.45124009
1,0.3,0.54557753
1,0.3,0.41862687
1,0.3,0.43932655
1,0.3,0.44765526
1,0.3,0.45592079
1,0.3,0.36892578
1,0.3,0.49873215
1,0.3,0.40206882
1,0.3,0.34990275
1,0.3,0.43129498
1,0.3,0.42495397
1,0.3,0.43522957
1,0.3,0.32850501
1,0.3,0.39119098
1,0.3,0.44028169
1,0.3,0.54212886
1,0.3,0.39016891
1,0.3,0.41047871
1,0.3,0.49465820
1,0.3,0.43281180
1,0.4,0.56672865
1,0.4,0.52485031
1,0.4,0.39724222
1,0.4,0.46461061
1,0.4,0.35484889
1,0.4,0.37558073
1,0.4,0.41567501
1,0.4,0.43075737
1,0.4,0.44170776
1,0.4,0.39034900
1,0.4,0.46615961
1,0.4,0.47635284
1,0.4,0.46528319
1,0.4,0.45092323
1,0.4,0.34205687
1,0.4,0.40004319
1,0.4,0.43304995
1,0.4,0.39757916
1,0.4,0.36138552
1,0.4,0.37129340
1,0.4,0.52365321
1,0.4,0.42053732
1,0.4,0.42422098
1,0.4,0.47318676
1,0.4,0.42408660
1,0.4,0.46589908
1,0.4,0.39812770
1,0.4,0.44646135
1,0.4,0.47961697
1,0.4,0.37447110
1,0.4,0.41425401
1,0.4,0.39176199
1,0.4,0.34913847
1,0.4,0.47903717
1,0.4,0.38458639
1,0.4,0.47749078
1,0.4,0.38033894
1,0.4,0.45659971
1,0.4,0.45707315
1,0.4,0.39117199
1,0.4,0.39501649
1,0.4,0.34092295
1,0.4,0.56301683
1,0.4,0.44970995
1,0.4,0.34905374
1,0.4,0.44701803
1,0.4,0.40252769
1,0.4,0.27970654
1,0.4,0.35628933
1,0.4,0.49934769
1,0.4,0.39856583
1,0.4,0.39904922
1,0.4,0.40323895
1,0.4,0.36760369
1,0.4,0.33462957
1,0.4,0.40674305
1,0.4,0.44621167
1,0.4,0.43634272
1,0.4,0.48559511
1,0.4,0.47708902
1,0.4,0.35821837
1,0.4,0.45454919
1,0.4,0.37407070
1,0.4,0.43026307
1,0.4,0.41688621
1,0.4,0.38531896
1,0.4,0.41518617
1,0.4,0.50851935
1,0.4,0.45403999
1,0.5,0.32376477
1,0.5,0.43527621
1,0.5,0.31400743
1,0.5,0.41321510
1,0.5,0.36922020
1,0.5,0.43261781
1,0.5,0.42179963
1,0.5,0.40400371
1,0.5,0.48711640
1,0.5,0.44756898
1,0.5,0.39980128
1,0.5,0.49806234
1,0.5,0.55476433
1,0.5,0.48748749
1,0.5,0.49820516
1,0.5,0.35882297
1,0.5,0.43761921
1,0.5,0.43209362
1,0.5,0.43018091
1,0.5,0.38239309
1,0.5,0.43860856
1,0.5,0.46219727
1,0.5,0.47971839
1,0.5,0.35773733
1,0.5,0.39048570
1,0.5,0.36466730
1,0.5,0.48328382
1,0.5,0.40301406
1,0.5,0.41262081
1,0.5,0.38689637
1,0.5,0.48879176
1,0.5,0.36749363
1,0.5,0.41808534
1,0.5,0.37007794
1,0.5,0.31835392
1,0.5,0.55742991
1,0.5,0.44497904
1,0.5,0.39866647
1,0.5,0.31792632
1,0.5,0.40225461
1,0.5,0.38035071
1,0.5,0.40868020
1,0.5,0.44761673
1,0.5,0.50125057
1,0.5,0.47500351
1,0.5,0.42804646
1,0.5,0.35166413
1,0.5,0.41323206
1,0.5,0.36390641
1,0.5,0.39158803
1,0.5,0.33908716
1,0.5,0.46556893
1,0.5,0.46363094
1,0.5,0.48568612
1,0.5,0.39135143
1,0.5,0.42460322
1,0.5,0.39048693
1,0.5,0.43362468
1,0.5,0.39725149
1,0.5,0.37281883
1,0.5,0.39634264
1,0.5,0.39382082
1,0.5,0.51182520
1,0.5,0.31867701
1,0.5,0.48398778
1,0.5,0.41232136
1,0.5,0.40631974
1,0.5,0.42350280
1,0.5,0.29470575
1,0.6,0.44196826
1,0.6,0.40741995
1,0.6,0.29633623
1,0.6,0.43382999
1,0.6,0.42535719
1,0.6,0.42035168
1,0.6,0.38248521
1,0.6,0.48584333
1,0.6,0.34089610
1,0.6,0.37568417
1,0.6,0.42488712
1,0.6,0.41240641
1,0.6,0.44400579
1,0.6,0.45352852
1,0.6,0.42241490
1,0.6,0.35049075
1,0.6,0.47602725
1,0.6,0.38606447
1,0.6,0.32333291
1,0.6,0.42634514
1,0.6,0.35519966
1,0.6,0.42783523
1,0.6,0.42124870
1,0.6,0.35706502
1,0.6,0.32854071
1,0.6,0.36305970
1,0.6,0.36892614
1,0.6,0.40610293
1,0.6,0.40481555
1,0.6,0.39803502
1,0.6,0.43586275
1,0.6,0.31946996
1,0.6,0.37917694
1,0.6,0.40408328
1,0.6,0.30241814
1,0.6,0.29595417
1,0.6,0.39782512
1,0.6,0.32284248
1,0.6,0.28814098
1,0.6,0.34726554
1,0.6,0.41258642
1,0.6,0.37763298
1,0.6,0.33626148
1,0.6,0.35996714
1,0.6,0.40913492
1,0.6,0.49227846
1,0.6,0.42975333
1,0.6,0.36818504
1,0.6,0.44658595
1,0.6,0.32955655
1,0.6,0.38311508
1,0.6,0.43834785
1,0.6,0.41800728
1,0.6,0.42255142
1,0.6,0.42238820
1,0.6,0.35231966
1,0.6,0.43756163
1,0.6,0.39686060
1,0.6,0.36165342
1,0.6,0.40476418
1,0.6,0.42714188
1,0.6,0.34220234
1,0.6,0.34365892
1,0.6,0.33411270
1,0.6,0.43189713
1,0.6,0.38879719
1,0.6,0.33740640
1,0.6,0.38368514
1,0.6,0.31271496
